fSentiment_StateID,fSentiment_Score,fSentiment_Date,fSentiment_ProductID,fSentiment_ZIPState
1,10,"Saturday, February 1, 2014",2187,00001AK
1,10,"Sunday, June 1, 2014",1,00001AK
1,10,"Monday, December 1, 2014",211,00001AK
1,10,"Friday, May 1, 2015",1908,00001AK
1,10,"Monday, June 1, 2015",1908,00001AK
1,11,"Thursday, January 1, 2015",1908,00001AK
1,11,"Sunday, March 1, 2015",211,00001AK
1,11,"Friday, May 1, 2015",2187,00001AK
1,12,"Wednesday, January 1, 2014",2187,00001AK
1,12,"Saturday, March 1, 2014",2187,00001AK
1,12,"Tuesday, April 1, 2014",1,00001AK
1,12,"Sunday, February 1, 2015",211,00001AK
1,12,"Friday, May 1, 2015",211,00001AK
1,12,"Friday, May 1, 2015",2187,00001AK
1,13,"Tuesday, April 1, 2014",2187,00001AK
1,14,"Saturday, March 1, 2014",1,00001AK
1,14,"Saturday, March 1, 2014",1,00001AK
1,14,"Sunday, June 1, 2014",199,00001AK
1,14,"Sunday, June 1, 2014",2187,00001AK
1,15,"Wednesday, January 1, 2014",211,00001AK
1,15,"Saturday, February 1, 2014",199,00001AK
1,15,"Saturday, March 1, 2014",1,00001AK
1,15,"Friday, August 1, 2014",2187,00001AK
1,15,"Sunday, February 1, 2015",211,00001AK
1,16,"Tuesday, July 1, 2014",211,00001AK
1,16,"Friday, August 1, 2014",2187,00001AK
1,16,"Wednesday, October 1, 2014",1,00001AK
1,16,"Wednesday, October 1, 2014",2187,00001AK
1,16,"Monday, December 1, 2014",1908,00001AK
1,16,"Monday, December 1, 2014",2187,00001AK
1,17,"Saturday, February 1, 2014",199,00001AK
1,17,"Tuesday, July 1, 2014",199,00001AK
1,17,"Tuesday, July 1, 2014",199,00001AK
1,17,"Sunday, March 1, 2015",2187,00001AK
1,18,"Wednesday, January 1, 2014",1908,00001AK
1,18,"Saturday, February 1, 2014",1908,00001AK
1,18,"Saturday, March 1, 2014",1908,00001AK
1,18,"Thursday, May 1, 2014",211,00001AK
1,19,"Monday, September 1, 2014",211,00001AK
1,19,"Monday, June 1, 2015",2187,00001AK
1,20,"Wednesday, January 1, 2014",211,00001AK
1,20,"Saturday, March 1, 2014",211,00001AK
1,20,"Tuesday, July 1, 2014",199,00001AK
1,20,"Friday, August 1, 2014",199,00001AK
1,20,"Sunday, February 1, 2015",211,00001AK
1,21,"Tuesday, July 1, 2014",211,00001AK
1,21,"Tuesday, July 1, 2014",2187,00001AK
1,21,"Monday, December 1, 2014",199,00001AK
1,21,"Wednesday, April 1, 2015",2187,00001AK
1,21,"Friday, May 1, 2015",199,00001AK
1,22,"Sunday, March 1, 2015",199,00001AK
1,22,"Friday, May 1, 2015",211,00001AK
1,23,"Wednesday, January 1, 2014",2187,00001AK
1,23,"Saturday, February 1, 2014",2187,00001AK
1,23,"Saturday, March 1, 2014",211,00001AK
1,23,"Monday, September 1, 2014",199,00001AK
1,23,"Wednesday, October 1, 2014",1,00001AK
1,23,"Monday, December 1, 2014",1,00001AK
1,23,"Sunday, March 1, 2015",199,00001AK
1,24,"Saturday, February 1, 2014",1,00001AK
1,24,"Sunday, June 1, 2014",2187,00001AK
1,24,"Tuesday, July 1, 2014",211,00001AK
1,24,"Monday, June 1, 2015",1908,00001AK
1,25,"Saturday, March 1, 2014",1908,00001AK
1,25,"Saturday, March 1, 2014",211,00001AK
1,25,"Thursday, May 1, 2014",2187,00001AK
1,25,"Wednesday, April 1, 2015",1,00001AK
1,26,"Tuesday, April 1, 2014",1908,00001AK
1,26,"Monday, September 1, 2014",1,00001AK
1,26,"Monday, September 1, 2014",1908,00001AK
1,26,"Sunday, February 1, 2015",1908,00001AK
1,26,"Friday, May 1, 2015",1908,00001AK
1,27,"Wednesday, October 1, 2014",211,00001AK
1,27,"Wednesday, April 1, 2015",1908,00001AK
1,27,"Wednesday, April 1, 2015",211,00001AK
1,29,"Thursday, May 1, 2014",1,00001AK
1,29,"Friday, August 1, 2014",1908,00001AK
1,30,"Saturday, March 1, 2014",199,00001AK
1,30,"Monday, September 1, 2014",1908,00001AK
1,30,"Monday, September 1, 2014",211,00001AK
1,30,"Sunday, February 1, 2015",1908,00001AK
1,30,"Monday, June 1, 2015",1908,00001AK
1,31,"Wednesday, January 1, 2014",1,00001AK
1,31,"Friday, August 1, 2014",211,00001AK
1,31,"Thursday, January 1, 2015",1,00001AK
1,32,"Saturday, February 1, 2014",1908,00001AK
1,32,"Tuesday, April 1, 2014",211,00001AK
1,32,"Sunday, June 1, 2014",211,00001AK
1,32,"Sunday, March 1, 2015",211,00001AK
1,33,"Saturday, March 1, 2014",199,00001AK
1,33,"Monday, September 1, 2014",199,00001AK
1,34,"Tuesday, April 1, 2014",2187,00001AK
1,34,"Thursday, May 1, 2014",1908,00001AK
1,34,"Tuesday, July 1, 2014",1908,00001AK
1,34,"Monday, September 1, 2014",199,00001AK
1,34,"Wednesday, October 1, 2014",2187,00001AK
1,34,"Sunday, February 1, 2015",1908,00001AK
1,34,"Wednesday, April 1, 2015",199,00001AK
1,35,"Monday, September 1, 2014",199,00001AK
1,35,"Wednesday, October 1, 2014",392,00001AK
1,35,"Saturday, November 1, 2014",1908,00001AK
1,35,"Monday, December 1, 2014",392,00001AK
1,35,"Sunday, February 1, 2015",1908,00001AK
1,35,"Monday, June 1, 2015",1908,00001AK
1,37,"Tuesday, July 1, 2014",1,00001AK
1,37,"Saturday, November 1, 2014",392,00001AK
1,37,"Monday, June 1, 2015",1908,00001AK
1,37,"Monday, June 1, 2015",199,00001AK
1,38,"Friday, May 1, 2015",211,00001AK
1,39,"Tuesday, July 1, 2014",199,00001AK
